correct,question_index,participant
True,0,octavioprueba
False,1,octavioprueba
False,2,octavioprueba
True,0,octavioprueba
False,1,octavioprueba
False,2,octavioprueba
True,0,octavioprueba
False,1,octavioprueba
False,2,octavioprueba
False,0,octavioprueba
False,1,octavioprueba
False,2,octavioprueba
False,0,octavioprueba
False,1,octavioprueba
False,2,octavioprueba
False,0,octavioprueba
False,1,octavioprueba
True,2,octavioprueba
False,0,octavioprueba
False,1,octavioprueba
True,2,octavioprueba
False,0,piloto_ed_1
False,1,piloto_ed_1
False,2,piloto_ed_1
False,0,piloto_ed_1
True,1,piloto_ed_1
True,2,piloto_ed_1
True,0,piloto_ed_1
True,1,piloto_ed_1
True,2,piloto_ed_1
True,0,piloto_ed_1
False,1,piloto_ed_1
True,2,piloto_ed_1
False,0,piloto_ed_1
False,1,piloto_ed_1
False,2,piloto_ed_1
