left_s,right_s
3.000000,4.599958
4.199979,5.799938
9.299854,6.499917
9.999833,6.899896
11.899792,8.099875
12.599771,11.199813
12.999750,13.399729
14.599708,15.299687
20.199521,15.999667
21.399500,16.399646
22.099479,16.799625
23.299458,17.499604
24.499437,17.899583
25.199417,19.099563
26.399396,19.799542
27.199354,26.799375
27.599333,28.799312
30.399271,29.199292
30.799250,34.299167
31.499229,34.999146
32.699208,35.399125
33.899187,35.799104
37.199062,36.499083
38.299021,37.599042
39.898979,38.699000
41.498937,40.298958
41.898917,42.598896
43.798875,46.898812
44.498854,49.198708
45.698833,51.898625
47.298792,54.998562
47.698771,55.398542
48.098750,56.098521
48.498729,57.698479
49.598687,58.798437
49.998667,59.198417
51.198646,59.898396
52.598604,60.298375
53.798583,60.698354
56.498500,62.098312
58.098458,65.198208
61.398333,65.598187
62.798292,67.698125
63.198271,68.098104
63.598250,68.798083
63.998229,71.898021
66.298167,72.598000
66.998146,76.497896
69.498063,77.197875
70.698042,77.597854
73.797979,78.797833
74.997958,82.197729
75.697937,84.097688
76.097917,85.497646
79.497812,86.697625
79.897792,88.297583
80.297771,88.997563
81.497750,90.197542
82.897708,91.697479
84.797667,95.197396
87.897604,97.597354
90.597521,98.797333
91.297500,99.997313
92.897458,101.197292
93.597437,102.797250
93.997417,103.497229
96.397375,106.497146
102.397271,107.697125
104.197208,109.597083
104.597188,111.197042
105.797167,113.097000
108.397104,117.096896
109.997062,120.196833
111.897021,121.696771
113.796979,122.896750
114.996958,125.996687
115.696938,128.796625
116.396917,130.196583
118.296875,131.396562
118.996854,133.196500
120.596812,133.596479
120.996792,134.296458
123.596729,136.696417
124.796708,137.896396
126.396667,139.296354
127.596646,139.996333
129.496604,140.696313
131.796542,144.196229
132.496521,145.396208
135.496438,145.796188
138.596375,148.096125
141.896292,150.496083
142.296271,151.696063
143.496250,152.896042
146.996167,153.596021
147.396146,154.395979
149.296104,155.595958
153.996000,156.295938
157.095896,156.695917
157.895854,157.495875
158.295833,158.695812
162.395708,159.395792
163.595687,160.595771
164.795667,160.995750
165.195646,161.695729
166.395625,168.295583
167.595604,170.095521
168.995563,170.495500
169.695542,171.695479
172.895458,173.295437
173.695417,174.395396
174.795375,176.395333
175.195354,177.595313
179.895250,178.295292
180.695208,178.695271
181.395187,180.295229
181.795167,183.695125
182.495146,186.095083
184.895104,188.695021
187.295063,191.094979
187.995042,194.194917
189.895000,194.894896
192.294958,196.494854
192.994937,197.194833
195.294875,198.594792
197.894813,200.194750
198.994771,200.894729
205.794604,202.094708
206.194583,202.794688
207.394563,203.994667
209.894479,204.394646
212.194417,205.094625
212.594396,208.094542
212.994375,208.494521
213.394354,209.194500
215.694292,210.594458
219.094188,211.794437
220.994146,214.094333
222.794083,215.294312
228.593938,216.894271
229.293917,217.294250
229.993896,217.694229
231.093854,218.394208
232.493812,219.794167
233.193792,221.694125
234.393771,222.394104
237.993708,223.194063
242.093583,223.894042
242.793563,224.594021
243.193542,225.794000
243.893521,226.993979
244.593500,227.393958
245.793479,230.393875
246.993458,231.793833
247.693437,235.593750
250.393354,236.793729
253.193292,239.193688
253.893271,239.593667
255.093250,240.293646
256.293229,240.693625
257.493208,241.393604
258.293167,248.893417
260.593104,249.293396
261.693062,249.993375
262.093042,251.593333
262.793021,252.793313
264.592958,257.893188
265.292937,259.493146
266.692896,260.193125
267.392875,261.293083
268.092854,263.493000
270.592771,264.192979
270.992750,265.992917
272.192729,268.792833
273.792687,269.492813
274.892646,269.892792
276.092625,273.392708
276.492604,274.492667
278.492542,277.692583
281.292438,278.092562
282.092396,278.892521
284.392333,279.292500
285.592312,279.692479
285.992292,280.892458
286.692271,281.692417
287.892250,282.792375
289.692187,283.992354
293.292125,288.592229
294.892083,289.292208
295.292062,290.892167
295.992042,292.092146
296.392021,294.492104
297.991979,297.592000
298.691958,299.891937
