left_s,right_s
3.000000,3.399979
4.599958,5.699917
5.299938,9.499833
6.399896,11.399792
7.099875,12.099771
8.299854,12.899729
10.699813,15.199667
12.499750,15.899646
13.299708,16.999604
14.499688,20.099542
16.599625,20.799521
18.199583,21.499500
19.399562,22.199479
22.599458,22.999437
23.699417,24.099396
26.599312,24.799375
27.299292,25.499354
29.199250,26.199333
31.999188,27.999271
32.399167,30.399229
33.099146,30.799208
34.699104,34.299125
35.399083,38.199021
36.599063,38.899000
37.799042,40.798958
40.098979,41.498937
42.698917,43.398896
43.798875,46.598813
44.998854,46.998792
45.398833,47.698771
48.798729,48.398750
49.498708,51.098667
49.898688,52.298646
53.698604,52.998625
54.898583,55.598562
58.398500,56.798542
58.798479,57.998521
61.198437,59.998458
61.598417,63.998375
62.798396,65.198354
70.098229,65.898333
71.698188,66.298312
72.398167,67.498292
73.498125,68.698271
74.598083,69.398250
75.798063,71.298208
77.398021,72.798146
78.598000,74.198104
79.297979,76.198042
80.697937,79.997958
83.097896,81.897917
83.897854,83.497875
90.197667,84.297833
91.397646,84.697812
92.097625,85.897792
92.797604,87.097771
93.997583,87.497750
98.597458,87.897729
99.297438,89.097708
101.697396,89.497687
102.397375,95.197563
103.097354,95.897542
104.297333,96.297521
104.997313,96.697500
106.997250,97.897479
108.197229,100.497417
111.197146,105.397292
111.597125,106.597271
113.497083,109.397208
113.897063,110.097188
117.396979,110.497167
117.796958,112.297104
118.496938,114.297042
118.896917,115.497021
119.296896,116.697000
122.396833,119.996875
124.296792,121.196854
124.996771,123.096812
128.296687,126.196750
130.596625,126.896729
132.196583,127.596708
132.896562,128.996667
136.996438,130.196646
138.096396,131.796604
139.696354,133.296542
140.096333,133.696521
140.896292,134.896500
142.096271,135.596479
142.496250,136.296458
142.896229,137.396417
144.796188,139.296375
147.896083,140.496312
149.096062,144.096208
149.796042,145.996167
151.696000,146.696146
152.895979,147.096125
153.595958,147.496104
155.195917,150.496021
155.895896,154.795938
158.995833,157.095875
161.495750,157.795854
161.895729,159.695812
162.595708,160.395792
164.195667,161.095771
166.095625,163.795688
168.895563,165.395646
172.695479,167.295604
173.895458,167.695583
174.995417,170.095542
175.395396,170.795521
177.295354,171.495500
179.195312,174.595438
179.595292,176.595375
180.795271,178.495333
183.095208,181.495250
183.495187,182.695229
187.095125,184.695167
188.495083,185.895146
189.695063,187.795104
190.095042,192.495000
191.295021,196.394896
192.894979,197.594875
193.294958,199.194833
193.994937,201.594792
195.194917,203.994750
198.794854,204.694729
200.394813,205.894708
202.794771,206.994667
206.294688,209.294604
208.194646,211.194562
208.594625,214.994479
209.994583,215.694458
211.894542,216.394438
213.094521,217.094417
214.294500,220.994313
217.794396,226.394187
218.194375,229.494125
218.594354,229.894104
219.794333,232.694042
222.194292,233.394021
222.894271,234.594000
224.094250,235.793979
225.294229,237.593917
225.994208,238.393875
227.594167,239.593854
228.294146,239.993833
231.094083,240.693813
231.494063,243.693729
236.193958,245.493667
236.893937,247.093625
237.993896,249.893563
241.393792,251.493521
241.793771,253.393479
242.993750,254.493437
244.393708,257.893333
245.093687,260.193271
246.693646,260.593250
248.293604,262.193208
248.693583,263.993146
251.093542,264.693125
252.693500,266.293083
254.093458,269.393021
255.193417,269.793000
256.393396,271.392958
256.793375,272.592938
257.493354,273.692896
259.093313,274.892875
259.493292,276.392812
260.993229,277.492771
262.593187,278.192750
263.293167,279.592708
265.093104,280.292687
266.993063,283.092625
268.193042,284.992583
270.192979,286.192563
273.292917,286.892542
275.592854,288.292500
275.992833,288.692479
276.792792,290.592438
278.892729,291.692396
281.492667,293.092354
282.692646,296.192292
283.792604,297.392271
287.592521,300.592188
289.892458,301.292167
290.992417,301.992146
292.392375,303.192125
