left_s,right_s
3.699979,3.000000
4.399958,5.099938
5.499917,6.599875
6.199896,7.699833
7.299854,8.099813
10.399750,8.499792
11.499708,9.699771
16.599583,11.099729
18.499542,12.699687
19.699521,13.899667
21.599479,15.099646
21.999458,15.499625
27.699333,15.899604
28.099312,17.799563
30.499229,20.399500
32.299167,22.699437
33.499146,23.899417
34.699125,25.099396
35.899104,25.799375
37.099083,26.999354
38.299062,28.499292
40.599000,29.699271
41.798979,30.099250
42.598937,31.199208
48.698792,31.899188
49.798750,38.699042
50.198729,39.899021
50.998688,42.198958
52.898646,42.998917
55.498583,43.698896
56.698563,44.898875
58.598521,46.098854
58.998500,46.798833
60.898458,47.998812
62.098438,49.098771
65.698375,50.598708
67.498312,52.198667
71.298187,54.098625
72.698146,54.798604
73.798104,57.398542
74.998083,60.198479
75.698063,63.298417
76.398042,64.498396
76.798021,66.398354
77.498000,66.798333
79.097958,68.198292
81.097896,69.398271
82.297875,69.798250
82.697854,70.198229
88.797667,70.898208
90.397625,71.998167
92.297583,73.398125
94.297521,78.697979
95.497500,80.297938
96.297458,80.697917
97.397417,83.097833
98.497375,83.797813
98.897354,84.197792
100.797313,84.597771
101.197292,85.297750
101.897271,85.997729
104.297229,87.197708
104.997208,88.397688
105.797167,89.197646
106.497146,91.597604
106.897125,93.497563
108.497083,93.897542
109.597042,95.897479
114.396958,96.997438
114.796937,97.797396
115.196917,100.097333
115.896896,103.097250
125.896646,105.397188
126.696604,108.097104
129.096563,108.897063
132.496458,110.797021
133.696438,111.997000
135.096396,113.196979
138.596313,117.096875
140.196271,117.796854
140.596250,118.996833
142.996208,119.396812
144.596167,120.596792
145.696125,121.796771
146.496083,122.996750
146.896062,123.396729
148.496021,124.096708
150.095979,124.496687
150.895938,125.196667
151.295917,126.296625
153.495833,127.896583
154.695812,129.496542
155.395792,130.696521
155.795771,131.396500
156.995750,131.796479
157.395729,134.396417
157.795708,135.796375
158.195687,136.996354
160.595646,138.196333
163.595562,138.996292
164.795542,141.796229
165.495521,143.396187
167.495458,145.296146
167.895438,146.096104
168.595417,148.096042
169.695375,149.696000
170.095354,150.495958
170.795333,151.695896
171.195312,152.395875
172.795271,153.095854
173.995250,159.395667
176.295146,160.995625
177.095104,161.695604
177.795083,162.895583
178.195063,165.895500
178.895042,167.095479
180.894979,169.295396
183.994917,172.395292
187.594854,174.695229
188.794833,175.095208
192.994729,175.495187
194.194708,175.895167
198.194625,176.695125
199.994563,179.295021
201.194542,180.495000
202.594500,181.594958
203.294479,182.794938
205.194437,185.194896
205.594417,186.394875
206.794396,189.994812
207.194375,191.194792
209.694292,191.894771
210.894271,192.594750
211.594250,195.394688
211.994229,196.594667
213.194208,197.794646
215.594125,198.894604
215.994104,199.594583
218.394062,201.894521
219.594042,203.994458
219.994021,207.594354
222.593958,208.294333
226.193896,208.994313
227.393875,213.594188
227.793854,214.794167
229.393812,215.194146
231.793729,217.194083
232.193708,221.194000
233.793667,221.893979
234.993646,223.793937
236.193625,224.993917
236.593604,228.193833
238.193563,229.793792
240.493500,230.993771
241.693479,231.393750
242.893458,232.593687
243.293438,236.993583
243.993417,239.393542
249.593229,239.793521
250.393188,244.693396
251.593167,245.393375
252.793146,246.593354
253.193125,246.993333
254.393104,247.393313
254.793083,247.793292
255.993063,248.493271
256.693042,249.193250
257.093021,249.993208
257.793000,258.992979
261.792917,260.192958
263.692875,261.392938
264.392854,262.992896
264.792833,266.692792
265.992813,267.792750
267.392771,268.592708
268.192729,270.192667
268.992687,274.492542
271.392646,276.092500
271.792625,277.292479
272.992604,278.892438
273.392583,279.292417
273.792562,281.592354
274.892521,281.992333
278.492458,285.092271
280.492396,285.792250
280.892375,286.192229
282.692313,290.192146
283.892292,291.392125
287.392208,291.792104
288.592188,293.192063
289.792167,293.892042
292.492083,295.492000
295.092021,296.691979
297.891958,298.591937
