left_s,right_s
3.000000,3.399979
3.799958,6.699854
4.199937,8.599813
4.899917,9.799792
5.599896,10.899750
6.299875,13.199687
7.399833,14.399667
10.199771,15.099646
12.099729,18.199583
12.499708,18.599563
15.799625,19.799542
16.999604,20.199521
21.399500,22.099479
22.799458,25.899354
23.999437,27.499312
24.399417,31.199208
24.799396,32.299167
25.199375,33.499146
27.099333,37.499063
28.699292,38.999000
29.399271,41.298938
29.799250,42.498917
30.499229,43.698896
31.599187,46.798792
34.699125,47.498771
35.899104,50.298708
37.099083,51.498688
38.199042,51.898667
38.599021,53.098646
39.398979,56.198583
40.598958,57.398562
44.098875,68.498271
44.498854,69.698250
44.898833,70.898229
46.098813,75.198146
48.698750,75.898125
49.898729,77.098104
53.798625,77.798083
54.998604,78.998063
57.798542,80.198042
58.498521,82.598000
59.198500,84.997958
60.398479,88.497875
60.798458,89.697854
61.198437,90.397833
62.398417,90.797813
63.098396,92.697771
63.798375,95.797708
64.998354,96.997687
65.398333,97.797646
66.098313,100.097583
67.298292,100.797562
72.098208,101.197542
72.798187,102.397521
73.998167,103.097500
81.398021,104.297479
83.797979,105.497458
86.197937,105.897437
87.397917,107.097375
88.097896,107.497354
91.997792,107.897333
93.897750,108.997292
94.597729,109.697271
97.397667,110.397250
98.497625,113.197187
99.697604,115.097146
106.297417,116.297125
106.697396,116.697104
108.597313,118.597063
111.597229,119.697021
112.797208,120.897000
113.897167,121.996958
117.897083,122.696938
118.997042,125.396854
121.296979,126.596833
123.096917,130.496729
124.296896,132.896688
124.996875,133.996646
126.996813,136.396604
127.696792,141.496479
128.896771,145.396375
130.096750,146.096354
131.696708,146.796333
133.296667,148.796271
135.196625,149.996250
137.596583,153.796167
138.296562,155.396125
139.496542,155.796104
139.896521,156.496083
141.096500,158.396042
142.696458,161.895958
143.896437,164.195896
144.296417,165.395875
144.996396,166.095854
147.996312,169.395771
148.396292,170.595750
151.196229,170.995729
152.396208,171.795688
153.096188,172.995667
154.196146,173.695646
157.696063,174.795604
159.596021,175.995583
160.796000,177.595542
161.195979,179.195500
163.095937,181.795437
163.795917,182.195417
167.295833,182.895396
167.995812,185.895312
168.695792,186.695271
171.395708,187.895250
174.395625,188.595229
177.195562,190.495187
177.995521,191.695167
179.895479,193.595083
181.095458,194.795021
183.295375,195.995000
183.995354,197.194979
184.695333,197.894958
186.295292,199.094937
189.795208,200.494896
192.095146,200.894875
192.495125,201.294854
192.895104,202.394813
193.995062,203.994771
194.395042,204.794729
199.794917,205.994708
201.694833,206.394688
203.594792,207.594667
204.394750,209.094604
208.294646,211.394542
208.694625,214.194479
209.494583,214.894458
210.194562,215.994417
211.794521,218.394375
212.994500,219.994333
215.294437,220.694312
217.194396,221.794271
218.794354,222.894229
221.094292,225.694167
222.494250,226.894146
224.094208,228.794104
225.294187,230.694063
227.594125,231.494021
229.494083,233.393979
231.094042,233.793958
232.694000,234.993937
235.693917,236.793875
236.393896,238.193833
237.493854,238.893812
240.093792,240.793771
241.493750,241.893729
243.493687,242.293708
244.593646,244.193667
245.793625,248.393563
246.493604,250.393500
247.193583,251.093479
248.793542,251.493458
249.993521,252.693437
253.093417,254.993375
254.293396,257.393333
256.193354,258.093313
260.793229,258.793292
263.193188,259.193271
263.593167,259.593250
264.293146,261.993208
265.393104,264.693125
266.593083,268.993042
267.793063,270.093000
269.693021,270.492979
270.892958,271.992917
271.292937,272.392896
273.192854,272.792875
274.592812,273.892833
276.192771,275.792792
276.592750,277.992708
277.292729,280.692625
278.392688,281.392604
279.092667,282.592542
280.292646,284.592479
281.792583,285.792458
282.192563,286.192437
283.792521,287.292396
284.192500,287.692375
286.592417,289.192313
288.092354,290.392292
288.792333,291.592271
292.292250,294.092188
292.692229,295.292167
293.392208,297.192125
296.492146,297.892104
299.792021,298.292083
