filename,condition_label,ordered,story_L,story_R,voice_L,voice_R
..\data\stimuli\processed_audios_short\F01_M02_short.ogg,O_F_M,True,01,02,F,M
..\data\stimuli\processed_audios_short\M02_F01_short.ogg,NO_M_F,False,02,01,M,F
..\data\stimuli\processed_audios_short\F02_M01_short.ogg,NO_F_M,False,02,01,F,M
..\data\stimuli\processed_audios_short\M01_F02_short.ogg,O_M_F,True,01,02,M,F
..\data\stimuli\processed_audios_short\F03_M04_short.ogg,O_F_M,True,03,04,F,M
..\data\stimuli\processed_audios_short\M04_F03_short.ogg,NO_M_F,False,04,03,M,F
..\data\stimuli\processed_audios_short\F04_M03_short.ogg,NO_F_M,False,04,03,F,M
..\data\stimuli\processed_audios_short\M03_F04_short.ogg,O_M_F,True,03,04,M,F
..\data\stimuli\processed_audios_short\F05_M06_short.ogg,O_F_M,True,05,06,F,M
..\data\stimuli\processed_audios_short\M06_F05_short.ogg,NO_M_F,False,06,05,M,F
..\data\stimuli\processed_audios_short\F06_M05_short.ogg,NO_F_M,False,06,05,F,M
..\data\stimuli\processed_audios_short\M05_F06_short.ogg,O_M_F,True,05,06,M,F
..\data\stimuli\processed_audios_short\F07_M08_short.ogg,O_F_M,True,07,08,F,M
..\data\stimuli\processed_audios_short\M08_F07_short.ogg,NO_M_F,False,08,07,M,F
..\data\stimuli\processed_audios_short\F08_M07_short.ogg,NO_F_M,False,08,07,F,M
..\data\stimuli\processed_audios_short\M07_F08_short.ogg,O_M_F,True,07,08,M,F
..\data\stimuli\processed_audios_short\F09_M10_short.ogg,O_F_M,True,09,10,F,M
..\data\stimuli\processed_audios_short\M10_F09_short.ogg,NO_M_F,False,10,09,M,F
..\data\stimuli\processed_audios_short\F10_M09_short.ogg,NO_F_M,False,10,09,F,M
..\data\stimuli\processed_audios_short\M09_F10_short.ogg,O_M_F,True,09,10,M,F
..\data\stimuli\processed_audios_short\F11_M12_short.ogg,O_F_M,True,11,12,F,M
..\data\stimuli\processed_audios_short\M12_F11_short.ogg,NO_M_F,False,12,11,M,F
..\data\stimuli\processed_audios_short\F12_M11_short.ogg,NO_F_M,False,12,11,F,M
..\data\stimuli\processed_audios_short\M11_F12_short.ogg,O_M_F,True,11,12,M,F
..\data\stimuli\processed_audios_short\F13_M14_short.ogg,O_F_M,True,13,14,F,M
..\data\stimuli\processed_audios_short\M14_F13_short.ogg,NO_M_F,False,14,13,M,F
..\data\stimuli\processed_audios_short\F14_M13_short.ogg,NO_F_M,False,14,13,F,M
..\data\stimuli\processed_audios_short\M13_F14_short.ogg,O_M_F,True,13,14,M,F
